,Semestre,Sharpe Ratio,Sortino Ratio,Kappa 3,Omega Ratio,VaR (95%),CVaR (95%),Maximum Drawdown,Calmar Ratio,Sterling Ratio,Burke Ratio
24,34,0.8115813383733395,3.019202367394752,1.5008363796415143,13.060787920399996,-0.0015124946961950297,-0.0021538617037006186,-0.00312116758029698,192.31912457694537,,90.63845452035108
25,35,0.6199015432910221,0.5245428363308416,0.33060996844751916,6.702995937603515,-0.001533629988530569,-0.005179646111043982,-0.015569889249837406,37.536197881057134,,25.182078440178625
26,36,0.6633069306356142,0.9215892906420213,0.563554601765399,7.640098497298219,-0.0017214517589598612,-0.006208451453944216,-0.009657254003087801,72.91219338192407,,31.013836766442104
27,37,0.5366784616177763,0.8093064936141059,0.4877098664122943,5.961537317498706,-0.0027921744160276747,-0.0065817474871462615,-0.012083562753107891,51.15748352929224,,23.481117954661276
28,38,0.5918326375541558,0.3052908478390337,0.21122754588983808,6.822955108269416,-0.0007029796316393382,-0.006778292945416143,-0.021290135141657375,27.862831357331867,,12.899606449580325
29,39,0.43579465674915363,0.4247348408566222,0.23940650678053593,3.3221207394830983,-0.004963049665165528,-0.009742179896479587,-0.021181419766989864,21.39524475287652,,6.635612704121022
30,40,0.5596306283248046,0.9450963251289535,0.5859271639542517,9.880561609973022,-0.0011635943994681972,-0.004666850720229118,-0.011113808071722214,61.26334540305078,,48.62269166294359
31,41,0.4969736235541847,0.8538034488599257,0.47141044013384575,3.8855640496410695,-0.0038360186618770034,-0.005515366202521492,-0.007697596016437024,56.740689349912294,,24.322779111344108
32,42,0.4688065618097717,0.5361343919708227,0.29117461939122485,3.92823187924366,-0.005432202127394298,-0.009286038775865743,-0.018040315556898345,31.739724450407962,,14.437307894276914
33,43,0.27267975451221904,0.328812191199113,0.19202098764759548,2.229224369952844,-0.012075196815475787,-0.015436198394930368,-0.023263917603222693,21.608693537909613,,7.795218498307683
34,44,0.5048587505170791,0.8863544884737573,0.5425143786261205,8.840226344118031,-0.005713268564676553,-0.013244475696777452,-0.0302879718536948,58.229826031750264,,35.16164574734861
35,45,0.6993936931939361,1.6038201111393557,0.9348549684909018,10.205715513571377,-0.006261072221389062,-0.009867516717890665,-0.020077060405006616,84.94175056127528,,43.09645399625603
36,46,0.6931098004406743,0.8830315224610203,0.5235815468193643,7.008937090772521,-0.004173384365957621,-0.007383369922631615,-0.017707620639364412,47.33073720845253,,21.108179937702058
37,47,0.4767010090127505,0.6834976058257487,0.4010417463329232,5.308674278656194,-0.003275494682268201,-0.008102086956188564,-0.018741241690778124,38.81768818106915,,17.127338809542277
38,48,0.8466848397054767,4.182621960822871,2.2650314230403352,23.214096111049688,-0.0008298842808291208,-0.00137647658445409,-0.0020744626207756813,314.67994924188247,,186.0876849261549
